동 이름,센터 이름,센터 이용량 년 평균,동별 인구수
오륜동,KSPO송파,243,18341
풍기동=온양6동,KSPO아산,26,29224
내곡동,강릉,44,16534
신도안면,계룡,16,8759
곡성읍,곡성,140,7990
산월동=첨단2동,광산,72,44402
산동면=산동읍,구미,28,26564
사정동=개정동,군산,82,3394
삼락동=대신동,김천,63,11291
대호동=성북동,나주,48,9322
용호4동,남구(부산),170,8635
무거동,남구(울산),111,33495
월락동=도통동,남원,42,7036
도원동,달서,209,36181
서석동= 서남동,동구(광주),175,3340
사당동,동작,78,76628
망원동,마포,2,39395
대양동=삼향동,목포,72,5182
오정동,부천,144,22435
신안동,북구(광주),68,10978
학장동,사상,93,28935
용현면,사천,28,7689
감천동,사하,95,27373
교동,삼척,68,14491
갈마동,서구(대전),154,25000
반포동,서초,215,11467
성남동,성남,132,33311
성수동1가,성동,225,30060
종촌동,세종,48,29622
순천동=매곡동,순천,441,4738
두구동=선두구동,스포원(금정),40,2397
정왕1동,시흥,20,23869
강남동,안동,61,10419
연수동,연수,94,16901
영동읍,영동,38,21907
오산동=중앙동,오산,265,33694
명륜동,원주,98,9307
녹양동,의정부,240,22865
중화산2동,전주,97,19600
오라동,제주,252,15966
증평읍,증평,137,35471
상남동,창원,102,28444
백석동,천안,43,40542
사직1동,청주,376,8626
효자2동,춘천,125,12000
호암동,충주,0,9500
장성동=장량동,포항,96,75951
봉담읍,화성,195,75230
